Fuel_Type,Fuel_Price_per_Litre,Distance_km,Fuel_Consumption_L_per_100km
Petrol,108.11,208.1,8.98
Diesel,95.38,188.8,6.68
Petrol,107.91,479.8,9.12
Diesel,99.33,258.8,7.01
Petrol,107.41,201.0,8.81
Diesel,100.07,444.3,7.27
Petrol,96.26,260.2,7.77
Diesel,92.97,123.7,6.45
Petrol,109.32,153.2,9.09
Diesel,100.68,336.1,7.25
Petrol,108.09,349.2,9.09
Diesel,96.69,346.7,6.83
Petrol,104.28,160.0,8.55
Diesel,98.82,434.6,7.18
Petrol,106.06,419.8,8.92
Diesel,99.52,273.3,7.01
Petrol,103.12,129.2,8.43
Diesel,91.83,301.9,6.28
Petrol,106.58,361.0,8.84
Diesel,99.84,273.1,7.02
Petrol,109.92,135.1,9.07
Diesel,102.53,421.1,7.49
Petrol,103.47,234.7,8.53
Diesel,100.01,151.0,7.08
Petrol,99.13,255.7,8.10
Diesel,95.35,297.5,6.65
Petrol,99.19,208.6,8.10
Diesel,97.94,201.8,6.88
Petrol,97.31,393.1,7.92
Diesel,100.61,389.0,7.32
Petrol,98.68,455.5,8.20
Diesel,96.22,354.3,6.85
Petrol,104.42,429.6,8.81
Diesel,103.15,158.4,7.26
Petrol,103.98,417.3,8.75
Diesel,102.71,462.8,7.41
Petrol,102.40,249.3,8.35
Diesel,103.32,290.0,7.37
Petrol,101.45,270.9,8.39
Diesel,101.79,420.4,7.29
Petrol,105.18,410.2,8.80
Diesel,99.40,309.4,7.03
Petrol,109.91,411.8,9.30
Diesel,101.41,412.3,7.36
Petrol,99.68,215.4,8.05
Diesel,98.45,498.6,7.10
Petrol,104.01,174.3,8.58
Diesel,90.04,220.5,6.13
Petrol,107.28,196.1,8.85
Diesel,97.79,122.0,6.76
Petrol,108.82,403.9,9.06
Diesel,102.97,213.4,7.33
Petrol,102.75,459.4,8.53
Diesel,99.89,465.8,7.15
Petrol,101.07,356.7,8.36
Diesel,96.85,375.3,6.82
Petrol,96.50,414.3,7.91
Diesel,95.21,208.0,6.65
Petrol,99.42,361.1,8.17
Diesel,93.71,446.5,6.59
Petrol,107.55,274.9,8.98
Diesel,97.63,459.9,6.92
Petrol,105.05,234.6,8.58
Diesel,100.57,148.4,7.02
Petrol,98.68,446.1,8.11
Diesel,99.78,356.3,7.17
Petrol,106.59,226.6,8.82
Diesel,93.18,308.2,6.46
Petrol,106.89,317.3,8.90
Diesel,95.71,372.9,6.80
Petrol,108.54,186.9,8.90
Diesel,103.81,452.6,7.57
Petrol,101.64,426.7,8.48
Diesel,98.00,436.9,7.00
Petrol,98.54,212.3,8.03
Diesel,94.66,172.2,6.54
Petrol,100.81,318.5,8.20
Diesel,101.41,303.3,7.27
Petrol,106.24,339.2,8.92
Diesel,96.38,406.9,6.83
Petrol,103.44,195.6,8.51
Diesel,95.24,443.6,6.85
Petrol,96.92,182.1,7.91
Diesel,101.12,218.1,7.24
Petrol,108.84,174.1,9.00
Diesel,92.80,118.3,6.30
Petrol,104.46,278.1,8.61
Diesel,91.19,125.6,6.14
Petrol,104.66,132.3,8.60
Diesel,96.75,202.0,6.73
Petrol,103.85,479.0,8.61
Diesel,95.40,116.1,6.61
Petrol,105.77,422.8,8.84
Diesel,100.66,206.7,7.22
Petrol,101.89,319.9,8.36
Diesel,92.63,459.2,6.51
Petrol,97.06,312.6,7.92
Diesel,99.47,440.4,7.13
Petrol,109.91,278.5,9.12
Diesel,97.26,402.3,6.99
Petrol,98.72,333.3,8.17
Diesel,99.81,193.4,7.02
Petrol,106.84,312.5,8.83
Diesel,102.19,300.9,7.29
Petrol,107.45,437.2,8.97
Diesel,95.42,365.8,6.75
Petrol,108.39,272.2,8.97
Diesel,95.40,262.6,6.72
Petrol,106.24,453.6,8.84
Diesel,100.19,256.9,7.14
Petrol,102.00,171.7,8.24
Diesel,99.01,326.7,7.09
Petrol,96.35,388.1,7.85
Diesel,102.64,265.5,7.33
Petrol,98.49,182.1,7.89
Diesel,94.39,443.4,6.61
Petrol,98.01,342.5,8.08
Diesel,99.25,353.3,7.06
Petrol,104.33,423.5,8.65
Diesel,93.18,487.7,6.58
Petrol,99.52,118.7,7.98
Diesel,97.72,276.8,6.87
Petrol,98.62,169.8,7.94
Diesel,96.93,244.9,6.89
Petrol,98.77,492.8,8.11
Diesel,101.43,183.2,7.14
Petrol,105.72,267.1,8.67
Diesel,91.24,333.6,6.39
Petrol,107.37,407.0,9.01
Diesel,100.17,119.3,7.08
Petrol,103.09,419.3,8.63
Diesel,103.54,360.8,7.47
Petrol,99.19,350.8,8.20
Diesel,99.88,150.5,7.06
Petrol,106.24,359.5,8.81
Diesel,101.73,285.3,7.31
Petrol,100.32,411.6,8.32
Diesel,103.66,313.0,7.49
Petrol,100.54,165.1,8.17
Diesel,94.94,395.6,6.75
Petrol,106.88,284.4,8.81
Diesel,97.26,495.3,7.00
Petrol,98.71,192.4,7.98
Diesel,99.09,335.4,7.08
Petrol,102.13,495.3,8.49
Diesel,94.78,242.7,6.69
Petrol,103.59,489.8,8.64
Diesel,102.53,267.1,7.30
Petrol,98.20,312.5,7.99
Diesel,92.79,357.0,6.49
Petrol,108.66,449.9,9.23
Diesel,91.24,471.6,6.45
Petrol,103.81,185.3,8.54
Diesel,99.52,357.7,7.07
Petrol,100.50,363.6,8.23
Diesel,90.28,315.0,6.24
Petrol,99.64,493.2,8.34
Diesel,97.38,424.2,7.01
Petrol,101.18,452.9,8.33
Diesel,102.00,244.5,7.27
Petrol,100.18,497.6,8.35
Diesel,101.77,398.0,7.39
Petrol,105.71,239.8,8.66
Diesel,98.77,413.4,7.02
Petrol,99.85,445.1,8.24
Diesel,91.01,329.4,6.36
Petrol,97.10,155.0,7.91
Diesel,100.10,475.7,7.27
Petrol,105.56,250.9,8.65
Diesel,91.72,387.4,6.33
Petrol,104.71,380.3,8.78
Diesel,92.85,252.5,6.46
Petrol,105.01,292.2,8.77
Diesel,96.67,230.6,6.72
Petrol,102.79,353.6,8.46
Diesel,99.27,201.0,7.08
Petrol,102.08,219.2,8.33
Diesel,93.98,411.2,6.59
Petrol,102.49,330.6,8.39
Diesel,103.00,163.1,7.30
Petrol,105.09,328.0,8.75
Diesel,90.17,101.7,6.02
Petrol,100.08,128.5,8.10
Diesel,99.52,271.3,6.99
Petrol,107.83,340.8,9.06
Diesel,101.28,194.8,7.15
Petrol,102.44,108.3,8.26
Diesel,91.63,375.5,6.38
Petrol,106.34,235.1,8.87
Diesel,98.79,396.1,7.13
Petrol,104.33,386.1,8.65
Diesel,97.65,430.9,7.03
Petrol,103.80,289.0,8.60
Diesel,91.63,248.3,6.26
Petrol,102.53,401.7,8.58
Diesel,93.02,275.8,6.41
Petrol,101.78,363.1,8.39
Diesel,100.49,287.4,7.10
Petrol,99.41,313.1,8.22
Diesel,92.95,209.6,6.45
Petrol,98.24,365.4,8.03
Diesel,99.47,133.9,7.02
Petrol,106.79,219.5,8.88
Diesel,90.76,199.3,6.26
Petrol,105.46,237.5,8.74
Diesel,103.20,360.0,7.54
Petrol,103.71,309.0,8.65
Diesel,100.45,186.1,7.03
Petrol,102.51,438.3,8.49
Diesel,92.60,221.1,6.36
Petrol,108.25,238.6,8.93
Diesel,103.49,482.6,7.60
Petrol,107.91,416.0,9.09
Diesel,92.20,278.1,6.33
Petrol,101.62,243.5,8.31
Diesel,98.05,129.6,6.78
Petrol,102.82,220.0,8.50
Diesel,103.26,364.1,7.51
Petrol,106.75,265.3,8.85
Diesel,93.48,184.5,6.41
Petrol,102.53,333.9,8.56
Diesel,96.72,171.7,6.82
Petrol,103.92,384.9,8.62
Diesel,103.20,137.1,7.39
Petrol,99.71,257.4,8.07
Diesel,100.61,238.2,7.21
Petrol,105.42,456.0,8.88
Diesel,91.71,379.5,6.32
Petrol,101.76,471.3,8.51
Diesel,96.26,178.1,6.72
Petrol,99.62,340.7,8.20
Diesel,96.03,376.3,6.87
Petrol,98.03,468.4,8.05
Diesel,97.11,103.7,6.72
Petrol,106.33,317.6,8.79
Diesel,90.32,372.8,6.23
Petrol,105.44,104.1,8.55
Diesel,98.29,330.3,6.96
Petrol,102.54,237.6,8.49
Diesel,103.90,127.4,7.34
Petrol,99.02,147.6,8.01
Diesel,101.81,373.7,7.34
Petrol,99.94,433.7,8.31
Diesel,93.04,345.2,6.50
Petrol,105.48,166.1,8.74
Diesel,95.74,253.7,6.64
Petrol,107.14,255.6,8.84
Diesel,95.88,409.0,6.75
Petrol,102.66,366.8,8.42
Diesel,93.60,485.4,6.62
Petrol,109.64,160.6,9.14
Diesel,103.00,216.9,7.43
Petrol,107.83,457.6,9.14
Diesel,100.03,396.5,7.25
Petrol,103.89,283.0,8.56
Diesel,99.00,465.9,7.12
Petrol,102.17,122.7,8.39
Diesel,100.24,179.1,7.11
Petrol,96.06,418.2,7.85
Diesel,94.64,247.2,6.51
Petrol,102.51,109.6,8.40
Diesel,94.99,197.0,6.59
Petrol,104.01,399.3,8.73
Diesel,103.87,326.2,7.50
Petrol,100.13,131.6,8.14
Diesel,95.58,442.5,6.77
Petrol,107.03,433.0,9.03
Diesel,98.62,426.8,7.15
Petrol,101.42,197.3,8.36
Diesel,92.42,469.7,6.53
Petrol,103.61,305.2,8.57
Diesel,101.79,200.6,7.27
Petrol,109.68,182.9,9.05
Diesel,103.10,128.5,7.25
Petrol,103.52,279.8,8.54
Diesel,96.57,274.4,6.73
Petrol,96.45,342.3,7.95
Diesel,90.44,317.6,6.26
Petrol,99.71,439.6,8.20
Diesel,103.49,487.8,7.66
Petrol,103.11,259.7,8.54
Diesel,95.27,278.9,6.60
Petrol,109.50,281.2,9.20
Diesel,103.02,268.6,7.42
Petrol,97.40,440.9,8.07
Diesel,98.20,131.4,6.84
Petrol,101.81,466.9,8.54
Diesel,101.69,156.3,7.17
Petrol,103.80,304.9,8.67
Diesel,103.87,330.8,7.49
Petrol,103.15,105.3,8.35
Diesel,93.02,271.2,6.49
Petrol,100.80,164.3,8.11
Diesel,96.15,302.2,6.86
Petrol,100.08,140.8,8.06
Diesel,94.06,472.5,6.72
Petrol,106.84,372.0,8.98
Diesel,101.75,319.4,7.22
Petrol,98.69,369.0,8.07
Diesel,97.08,427.6,7.01
Petrol,97.17,489.3,8.10
Diesel,95.95,267.9,6.72
Petrol,101.76,453.7,8.45
Diesel,91.25,197.1,6.33
Petrol,101.11,490.5,8.41
Diesel,101.54,317.5,7.20
Petrol,97.88,206.8,7.95
Diesel,93.88,186.7,6.56
Petrol,104.85,368.3,8.72
Diesel,92.60,109.5,6.37
Petrol,101.79,434.8,8.43
Diesel,90.94,242.3,6.26
Petrol,97.50,446.6,8.07
Diesel,100.87,451.6,7.22
Petrol,99.75,373.9,8.21
Diesel,101.94,289.8,7.32
Petrol,104.96,247.2,8.60
Diesel,93.08,248.6,6.46
Petrol,100.96,422.3,8.42
Diesel,103.71,417.1,7.59
Petrol,109.20,190.2,9.12
Diesel,99.36,370.4,7.09
Petrol,104.06,219.2,8.58
Diesel,102.32,386.8,7.43
Petrol,100.99,243.0,8.24
Diesel,97.47,104.0,6.78
Petrol,102.44,411.7,8.46
Diesel,102.50,318.1,7.40
Petrol,104.77,177.4,8.60
Diesel,101.06,385.1,7.29
Petrol,106.85,151.2,8.72
Diesel,103.07,433.3,7.52
Petrol,98.61,339.4,8.00
Diesel,90.44,210.8,6.13
Petrol,109.32,404.2,9.22
Diesel,96.32,445.4,6.79
Petrol,98.29,428.2,8.16
Diesel,93.15,307.6,6.41
Petrol,103.74,120.2,8.50
Diesel,92.87,116.9,6.35
Petrol,109.16,414.4,9.20
Diesel,90.99,141.8,6.21
Petrol,104.45,269.3,8.63
Diesel,100.28,238.9,7.10
Petrol,103.32,271.5,8.52
Diesel,90.28,476.4,6.38
Petrol,96.07,170.1,7.70
Diesel,96.32,350.4,6.89
Petrol,106.55,320.2,8.89
Diesel,90.85,252.3,6.30
Petrol,109.62,492.7,9.29
Diesel,97.37,136.4,6.78
Petrol,104.28,452.4,8.75
Diesel,90.87,439.1,6.35
Petrol,102.85,271.8,8.46
Diesel,95.39,380.7,6.67
Petrol,103.15,313.1,8.45
Diesel,102.54,180.0,7.36
Petrol,98.14,295.5,7.95
Diesel,99.70,226.7,7.07
Petrol,109.72,317.2,9.10
Diesel,100.38,404.5,7.20
Petrol,107.97,498.7,9.09
Diesel,90.16,271.4,6.12
Petrol,97.80,477.2,8.06
Diesel,102.45,484.8,7.41
Petrol,101.87,247.7,8.42
Diesel,97.26,319.8,6.95
Petrol,105.43,131.0,8.69
Diesel,99.65,249.4,7.08
Petrol,100.64,459.4,8.37
Diesel,91.43,132.8,6.20
Petrol,101.57,399.3,8.45
Diesel,91.51,311.9,6.38
Petrol,106.53,299.9,8.78
Diesel,90.69,406.7,6.28
Petrol,103.56,205.3,8.50
Diesel,103.49,209.5,7.48
Petrol,105.87,284.4,8.87
Diesel,92.72,127.2,6.38
Petrol,104.17,166.3,8.56
Diesel,100.30,372.0,7.20
Petrol,102.94,110.7,8.45
Diesel,90.32,296.7,6.18
Petrol,103.40,224.5,8.56
Diesel,92.01,406.6,6.37
Petrol,106.41,349.6,8.84
Diesel,97.35,159.7,6.73
Petrol,97.06,247.2,7.90
Diesel,98.64,258.7,7.00
Petrol,100.36,181.3,8.20
Diesel,103.78,309.6,7.46
Petrol,97.14,106.8,7.86
Diesel,98.04,321.5,7.00
Petrol,101.54,306.8,8.41
Diesel,94.38,273.9,6.67
Petrol,97.51,324.5,8.00
Diesel,103.21,280.3,7.41
Petrol,101.22,123.5,8.13
Diesel,97.18,363.8,6.87
Petrol,108.68,451.5,9.18
Diesel,93.36,384.6,6.52
Petrol,103.47,317.8,8.61
Diesel,96.66,124.9,6.76
Petrol,99.22,167.9,7.97
Diesel,97.99,151.5,6.88
Petrol,100.75,405.2,8.42
Diesel,99.27,303.6,7.12
Petrol,108.97,246.9,9.11
Diesel,93.31,344.4,6.53
Petrol,100.86,327.4,8.28
Diesel,97.10,367.5,6.93
Petrol,97.55,162.5,7.93
Diesel,96.76,411.6,6.97
Petrol,98.46,353.0,8.08
Diesel,103.23,385.5,7.44
Petrol,101.23,421.1,8.47
Diesel,95.38,169.6,6.69
Petrol,101.31,197.4,8.25
Diesel,101.12,225.3,7.16
Petrol,103.50,219.0,8.58
Diesel,94.51,151.2,6.53
Petrol,101.49,389.1,8.40
Diesel,95.53,284.0,6.79
Petrol,107.57,442.4,9.13
Diesel,90.60,294.5,6.32
Petrol,100.71,492.6,8.41
Diesel,96.60,445.1,6.96
Petrol,103.49,485.3,8.64
Diesel,96.45,151.3,6.70
Petrol,100.27,226.4,8.24
Diesel,96.46,478.8,6.90
Petrol,109.40,441.5,9.23
Diesel,90.08,321.3,6.31
Petrol,106.92,491.4,8.98
Diesel,103.40,323.0,7.43
Petrol,108.78,234.5,9.08
Diesel,96.91,283.2,6.80
Petrol,105.67,125.7,8.65
Diesel,91.75,414.6,6.37
Petrol,97.39,472.4,8.06
Diesel,91.06,136.0,6.14
Petrol,97.82,246.2,8.02
Diesel,97.03,134.3,6.78
Petrol,101.21,232.4,8.27
Diesel,99.28,376.7,7.18
Petrol,102.52,331.1,8.45
Diesel,91.07,319.3,6.36
Petrol,105.36,424.8,8.87
Diesel,97.15,408.2,7.00
Petrol,96.65,432.9,7.87
Diesel,94.75,462.5,6.76
Petrol,101.55,381.6,8.47
Diesel,92.78,431.1,6.48
Petrol,101.73,264.1,8.31
Diesel,91.74,148.5,6.20
Petrol,108.65,111.1,8.93
Diesel,97.71,363.6,6.90
Petrol,106.63,109.0,8.73
Diesel,101.23,263.0,7.18
Petrol,100.00,347.5,8.25
Diesel,90.37,282.2,6.18
Petrol,103.91,113.0,8.47
Diesel,101.28,206.6,7.28
Petrol,109.94,206.9,9.18
Diesel,92.99,367.0,6.45
Petrol,103.59,317.5,8.60
Diesel,100.24,342.9,7.22
Petrol,103.14,298.5,8.45
Diesel,102.02,332.1,7.40
Petrol,99.35,337.6,8.12
Diesel,98.55,465.1,7.04
Petrol,104.36,253.2,8.69
Diesel,103.95,323.7,7.44
Petrol,105.83,139.1,8.73
Diesel,95.39,321.9,6.69
Petrol,102.42,318.2,8.43
Diesel,93.43,204.1,6.53
Petrol,104.22,321.9,8.55
Diesel,101.93,306.3,7.39
Petrol,97.12,382.8,7.95
Diesel,97.57,326.6,6.95
Petrol,105.68,254.2,8.71
Diesel,97.57,346.5,6.89
Petrol,98.56,318.1,8.15
Diesel,98.42,111.6,6.87
Petrol,109.74,150.3,9.16
Diesel,100.94,259.8,7.11
Petrol,103.40,497.7,8.63
Diesel,96.06,109.2,6.62
Petrol,98.77,398.1,8.20
Diesel,103.93,466.5,7.66
Petrol,104.91,164.6,8.62
Diesel,91.25,377.3,6.30
Petrol,96.52,467.2,8.03
Diesel,90.99,124.7,6.23
Petrol,108.31,494.3,9.15
Diesel,97.03,448.3,6.92
Petrol,96.25,219.5,7.74
Diesel,95.84,104.8,6.64
Petrol,100.74,203.4,8.19
Diesel,103.95,237.3,7.52
Petrol,101.84,175.1,8.33
Diesel,91.85,486.0,6.55
Petrol,109.70,456.8,9.25
Diesel,100.81,397.9,7.26
Petrol,97.48,283.3,8.02
Diesel,98.66,321.5,6.93
Petrol,107.65,378.4,9.08
Diesel,96.68,491.0,6.96
Petrol,103.63,187.7,8.43
Diesel,103.43,400.3,7.50
Petrol,107.30,116.1,8.83
Diesel,90.81,361.4,6.38
Petrol,97.20,398.7,7.89
Diesel,99.22,309.4,7.15
Petrol,109.41,198.3,9.09
Diesel,101.56,224.8,7.24
Petrol,104.96,387.9,8.79
Diesel,94.55,165.8,6.57
Petrol,109.95,476.0,9.25
Diesel,90.16,335.0,6.28
Petrol,106.05,107.7,8.63
Diesel,103.97,486.1,7.65
Petrol,108.70,118.9,9.02
Diesel,90.82,313.1,6.34
Petrol,96.23,169.6,7.69
Diesel,102.54,307.8,7.41
Petrol,96.89,387.7,8.02
Diesel,98.34,227.7,6.85
Petrol,106.22,292.7,8.89
Diesel,102.99,124.6,7.34
Petrol,105.29,129.8,8.57
Diesel,93.85,476.1,6.66
Petrol,107.72,484.1,9.04
Diesel,101.89,467.6,7.36
Petrol,106.49,332.4,8.81
Diesel,102.57,223.5,7.41
Petrol,102.65,140.4,8.35
Diesel,96.70,479.0,7.00
Petrol,107.74,149.0,8.92
Diesel,91.55,207.0,6.28
Petrol,107.60,491.7,9.16
Diesel,91.27,258.0,6.29
Petrol,105.07,396.7,8.72
Diesel,99.35,123.3,6.97
Petrol,102.31,185.8,8.42
Diesel,98.99,438.6,7.16
Petrol,107.82,433.0,9.00
Diesel,102.40,281.1,7.42
Petrol,100.11,173.9,8.07
Diesel,94.08,274.4,6.62
Petrol,107.26,390.8,9.02
Diesel,101.16,108.2,7.20
Petrol,99.91,363.3,8.17
Diesel,100.20,199.9,7.10
Petrol,106.59,422.7,8.85
Diesel,102.06,111.2,7.25
Petrol,96.95,178.6,7.78
Diesel,103.46,206.5,7.38
Petrol,100.35,477.4,8.35
Diesel,90.35,419.0,6.25
Petrol,100.64,242.7,8.19
Diesel,95.83,445.5,6.80
Petrol,108.13,361.5,9.00
Diesel,102.05,245.4,7.23
Petrol,103.73,146.2,8.50
Diesel,98.48,151.5,6.92
Petrol,108.85,272.9,9.01
Diesel,95.52,189.4,6.60
Petrol,103.58,437.0,8.63
Diesel,93.61,294.6,6.46
Petrol,101.78,201.5,8.38
Diesel,103.66,258.9,7.51
Petrol,99.65,236.2,8.21
Diesel,99.96,497.8,7.22
Petrol,103.54,182.8,8.54
Diesel,91.23,263.8,6.23
Petrol,107.93,381.9,9.10
Diesel,102.33,143.0,7.23
Petrol,96.75,474.9,7.91
Diesel,90.93,449.8,6.29
Petrol,108.19,343.6,8.99
Diesel,91.64,279.0,6.27
Petrol,100.58,330.6,8.32
Diesel,99.66,237.9,7.11
Petrol,105.84,182.7,8.70
Diesel,100.95,442.1,7.22
Petrol,101.69,281.5,8.35
Diesel,94.34,262.2,6.63
Petrol,99.67,313.0,8.11
Diesel,96.93,468.9,6.94
Petrol,106.63,177.8,8.78
Diesel,102.91,436.2,7.46
Petrol,98.90,268.6,8.12
Diesel,100.12,404.3,7.26
Petrol,102.05,165.0,8.30
Diesel,90.37,171.1,6.23
Petrol,108.99,208.5,8.97
Diesel,91.64,364.0,6.38
Petrol,104.23,324.3,8.58
Diesel,95.39,441.9,6.86
Petrol,109.49,432.8,9.26
Diesel,93.61,472.1,6.58
Petrol,100.51,412.3,8.29
Diesel,90.73,330.0,6.27
Petrol,99.60,373.3,8.24
Diesel,98.40,451.0,7.02
Petrol,101.91,194.4,8.30
Diesel,93.44,327.0,6.56
Petrol,101.29,357.1,8.37
Diesel,90.63,233.5,6.18
Petrol,98.55,428.9,8.14
Diesel,101.82,403.8,7.44
Petrol,98.50,169.8,7.92
Diesel,92.93,381.6,6.50
Petrol,103.48,450.3,8.67
Diesel,99.08,443.9,7.22
Petrol,106.19,495.3,8.97
Diesel,103.45,485.2,7.58
Petrol,103.84,387.3,8.59
Diesel,90.05,452.0,6.26
Petrol,104.62,210.8,8.60
Diesel,91.21,447.9,6.45
Petrol,108.13,265.1,9.07
Diesel,100.70,268.4,7.21
Petrol,96.15,185.0,7.75
Diesel,103.41,384.3,7.53
Petrol,109.37,391.8,9.24
Diesel,97.81,227.0,6.85
Petrol,104.35,188.7,8.63
Diesel,103.27,213.7,7.30
Petrol,105.30,170.2,8.61
Diesel,103.23,337.5,7.44
Petrol,109.30,279.3,9.03
Diesel,103.21,412.7,7.48
Petrol,96.74,485.4,8.00
Diesel,103.72,479.9,7.63
Petrol,97.21,341.0,7.86
Diesel,98.02,119.4,6.77
Petrol,103.06,123.2,8.48
Diesel,91.42,295.8,6.36
Petrol,108.51,467.5,9.08
Diesel,102.35,140.1,7.21
Petrol,101.72,126.4,8.29
Diesel,91.47,103.1,6.18
Petrol,105.60,104.6,8.72
Diesel,94.71,302.0,6.61
Petrol,106.90,346.7,8.88
Diesel,91.52,444.6,6.46
Petrol,96.48,136.5,7.68
Diesel,92.01,276.2,6.38
Petrol,102.54,439.5,8.62
Diesel,95.01,119.9,6.62
Petrol,100.46,168.2,8.23
Diesel,94.50,328.4,6.70
Petrol,97.84,492.6,8.12
Diesel,100.43,454.9,7.18
Petrol,98.84,167.3,8.01
Diesel,98.48,229.0,7.01
Petrol,101.27,414.0,8.32
Diesel,96.25,439.3,6.78
Petrol,97.66,206.0,7.93
Diesel,91.16,355.1,6.28
Petrol,100.25,231.1,8.27
Diesel,91.19,107.1,6.16
Petrol,102.87,282.9,8.39
Diesel,95.44,490.8,6.89
Petrol,97.22,215.7,7.82
Diesel,91.26,476.5,6.38
Petrol,109.76,444.8,9.27
Diesel,91.21,492.7,6.39
Petrol,107.28,448.7,8.99
Diesel,101.96,181.0,7.20
Petrol,99.61,119.4,8.02
Diesel,96.10,276.5,6.76
Petrol,97.06,147.1,7.75
Diesel,93.06,145.9,6.46
Petrol,107.58,495.1,9.13
Diesel,92.48,243.8,6.41
Petrol,107.27,111.6,8.78
Diesel,94.94,140.1,6.61
Petrol,104.86,187.0,8.59
Diesel,99.76,211.7,6.99
Petrol,96.17,354.5,7.81
Diesel,100.35,152.1,7.15
Petrol,103.51,360.7,8.65
Diesel,99.02,105.7,6.98
Petrol,97.71,405.7,8.08
Diesel,99.25,203.7,7.09
Petrol,102.40,351.4,8.47
Diesel,100.69,119.7,7.03
Petrol,109.75,462.0,9.35
Diesel,97.95,421.1,6.96
Petrol,98.99,251.4,8.13
Diesel,90.06,182.7,6.13
Petrol,104.55,134.9,8.62
Diesel,102.31,356.3,7.41
Petrol,105.96,164.4,8.63
Diesel,97.00,192.5,6.76
Petrol,96.40,488.8,8.04
Diesel,94.93,196.0,6.62
Petrol,104.87,199.5,8.64
Diesel,91.14,402.9,6.32
Petrol,109.72,487.4,9.35
Diesel,98.74,272.2,7.02
Petrol,109.79,146.9,9.10
Diesel,93.76,120.1,6.38
Petrol,97.91,331.1,8.10
Diesel,101.26,120.8,7.21
Petrol,98.22,292.8,8.05
Diesel,98.57,315.6,7.06
Petrol,99.72,444.6,8.19
Diesel,92.63,248.4,6.50
Petrol,108.48,311.8,9.02
Diesel,98.86,459.6,7.15
Petrol,108.02,134.9,8.94
Diesel,95.31,306.1,6.63
Petrol,106.90,404.1,9.03
Diesel,101.01,186.3,7.18
Petrol,105.28,431.6,8.75
Diesel,99.78,469.0,7.17
Petrol,103.72,247.2,8.53
Diesel,90.26,243.3,6.20
Petrol,102.96,419.0,8.61
Diesel,98.39,250.8,6.95
Petrol,107.79,301.5,9.01
Diesel,94.41,478.3,6.80
Petrol,98.21,411.8,8.17
Diesel,97.84,433.4,7.06
Petrol,108.72,291.8,9.09
Diesel,96.66,309.8,6.83
Petrol,106.66,177.1,8.81
Diesel,90.76,132.5,6.18
Petrol,99.40,436.1,8.26
Diesel,92.26,452.7,6.54
Petrol,101.15,171.7,8.22
Diesel,95.61,477.8,6.87
Petrol,109.77,239.2,9.21
Diesel,93.24,316.3,6.45
Petrol,100.32,496.6,8.36
Diesel,99.11,143.9,7.02
Petrol,108.92,108.5,8.94
Diesel,92.86,435.3,6.49
Petrol,108.80,414.9,9.13
Diesel,92.07,129.0,6.22
Petrol,99.30,498.6,8.32
Diesel,93.49,176.9,6.48
Petrol,101.54,303.1,8.36
Diesel,103.07,296.9,7.35
Petrol,105.22,311.8,8.76
Diesel,96.49,398.4,6.79
Petrol,109.95,336.8,9.26
Diesel,101.90,195.3,7.31
Petrol,102.23,165.2,8.31
Diesel,92.79,294.8,6.39
Petrol,100.06,434.5,8.25
Diesel,100.89,498.3,7.34
Petrol,99.43,123.8,8.09
Diesel,102.32,202.1,7.30
Petrol,100.81,495.8,8.40
Diesel,91.35,318.4,6.30
Petrol,103.45,280.0,8.45
Diesel,94.66,160.3,6.55
Petrol,101.25,254.3,8.34
Diesel,90.53,421.7,6.24
Petrol,100.39,178.5,8.08
Diesel,95.29,357.6,6.75
Petrol,108.62,452.2,9.16
Diesel,91.51,187.5,6.31
Petrol,100.07,146.7,8.09
Diesel,91.80,302.6,6.32
Petrol,100.64,239.3,8.25
Diesel,90.45,366.9,6.20
Petrol,97.62,482.8,8.11
Diesel,101.13,261.3,7.23
Petrol,107.01,183.0,8.79
Diesel,100.78,326.6,7.14
Petrol,104.14,486.3,8.70
Diesel,102.22,178.1,7.29
Petrol,106.85,269.7,8.82
Diesel,94.97,116.9,6.47
Petrol,98.01,198.5,8.01
Diesel,97.13,382.5,6.90
Petrol,101.77,212.4,8.33
Diesel,103.77,204.8,7.46
Petrol,109.59,142.5,9.06
Diesel,102.93,228.7,7.27
Petrol,102.04,308.2,8.42
Diesel,93.89,318.9,6.58
Petrol,108.65,283.2,8.99
Diesel,103.32,203.0,7.33
Petrol,107.28,404.5,9.07
Diesel,99.12,360.5,7.02
Petrol,106.23,210.8,8.77
Diesel,101.19,243.1,7.17
Petrol,103.42,339.2,8.60
Diesel,99.22,461.0,7.08
Petrol,98.63,440.5,8.08
Diesel,93.08,469.3,6.59
Petrol,102.77,446.5,8.60
Diesel,94.74,342.3,6.62
Petrol,100.24,284.3,8.13
Diesel,94.00,171.2,6.49
Petrol,106.81,227.7,8.83
Diesel,94.48,177.1,6.46
Petrol,103.14,352.9,8.48
Diesel,93.71,398.9,6.68
Petrol,107.71,198.0,8.92
Diesel,90.90,405.3,6.33
Petrol,97.97,334.1,8.08
Diesel,95.50,167.1,6.68
Petrol,102.41,256.9,8.45
Diesel,93.54,298.5,6.60
Petrol,99.66,197.8,8.09
Diesel,92.85,454.5,6.57
Petrol,104.88,447.1,8.80
Diesel,90.81,384.2,6.29
Petrol,101.03,187.4,8.17
Diesel,100.50,300.8,7.15
